COMPLAINT_ID,CONTRACT_ID,PARENT_ORGANIZATION,REGION_RESPONSIBLE,CATEGORY,SUBCATEGORY,SUBCATEGORY_OTHER,COMPLAINT_SUMMARY,UPDATED_DATE,CASEWORK,COMMENT_TEXT,COMPLAINANT_TYPE,STATE,x,y,z
C001,CT1001,Acme Corp,North America,Billing,Overcharge,,Customer was overcharged by $50 on the last invoice.,2025-01-15,Open,Investigating the overcharge issue.,Individual,CA,42.433723,43.304493,-26.978018
C002,CT1002,Globex Inc,Europe,Service,Delay,,Service activation was delayed by two weeks.,2025-01-20,Closed,Apologized and provided a discount.,Individual,TX,-26.039843,-54.294403,-3.5315447
C003,CT1003,Initech,Asia,Product,Defective Item,,Received a defective product that doesn't work.,2025-01-25,Open,Awaiting return of the defective item.,Business,NY,-14.275398,30.92635,-55.598713
C004,CT1004,Umbrella Corp,South America,Support,Unresponsive,,Customer support has not responded to multiple inquiries.,2025-01-30,Closed,Provided support and resolved the issue.,Individual,FL,-3.8786476,4.2619762,51.935432
C005,CT1005,Stark Industries,Africa,Delivery,Missing Item,,An item was missing from the delivered package.,2025-02-01,Open,Processing the shipment of the missing item.,Business,IL,22.42972,-30.587706,7.221556
C006,CT1006,Wayne Enterprises,Australia,Billing,Incorrect Charge,,Incorrect charge applied to the account.,2025-02-05,Closed,Corrected the billing error.,Individual,WA,2.1256113,79.115875,-30.406681
C007,CT1007,Wonka Industries,Europe,Product,Expired Product,,Received an expired product.,2025-02-10,Open,Offered replacement or refund options.,Individual,OR,-0.54212254,18.95506,-67.40111
C008,CT1008,Soylent Corp,North America,Service,Poor Quality,,Service quality does not meet expectations.,2025-02-15,Closed,Improved service quality and offered compensation.,Business,MI,-55.834576,-11.73496,-61.233547
C009,CT1009,Tyrell Corporation,Asia,Support,Rude Behavior,,Support staff was rude during the interaction.,2025-02-20,Open,Addressing the behavior with the support team.,Individual,NC,-6.8796244,43.09605,57.297634
C010,CT1010,Black Mesa,South America,Delivery,Delayed Delivery,,Delivery was delayed by over a week.,2025-02-25,Closed,Expedited future deliveries and provided a discount.,Business,GA,18.067118,34.478306,30.865086
C011,CT1011,Cyberdyne Systems,North America,Billing,Double Charge,,Customer was charged twice for the same transaction.,2025-03-01,Open,Processing the refund.,Individual,OH,36.65375,44.61048,-15.084574
C012,CT1012,LexCorp,Europe,Service,Installation Issue,,Installation process encountered technical difficulties.,2025-03-05,Closed,Resolved installation issue remotely.,Business,PA,26.055103,32.292374,80.67718
C013,CT1013,Oscorp,Asia,Product,Wrong Item,,Received the wrong item in the order.,2025-03-10,Open,Arranging correct item delivery.,Individual,VA,10.820755,5.358485,-12.416342
C014,CT1014,Vought International,South America,Support,Slow Response,,Support response took more than 48 hours.,2025-03-15,Closed,Improved response time and provided support.,Business,CO,17.544445,-13.836322,60.329823
C015,CT1015,Dharma Initiative,Africa,Delivery,Damaged Item,,Item was damaged upon arrival.,2025-03-20,Open,Offering a replacement or refund.,Individual,AZ,6.625911,-4.5938377,-42.13816
C016,CT1016,Aperture Science,Australia,Billing,Unapplied Discount,,Discount was not applied during checkout.,2025-03-25,Closed,Applied the discount and refunded the difference.,Business,MA,24.341772,-61.237103,20.387833
C017,CT1017,Buy n Large,Europe,Service,Connection Issue,,Service connection is frequently dropping.,2025-03-30,Open,Investigating connection stability issues.,Individual,NV,-56.726254,-41.771885,-26.018005
C018,CT1018,Encom,North America,Product,Faulty Software,,Software crashes frequently and is unusable.,2025-04-01,Closed,Issued a patch to fix the problem.,Business,MO,-56.49094,-13.988937,-21.43245
C019,CT1019,Omni Consumer Products,Asia,Support,Unhelpful Staff,,Support staff did not resolve the issue.,2025-04-05,Open,Providing additional training to support staff.,Individual,WI,1.9544635,44.333275,67.39231
C020,CT1020,Weyland-Yutani,South America,Delivery,Lost Package,,Package never arrived at the destination.,2025-04-10,Closed,Reshipped the order and provided tracking.,Business,MN,33.793995,-5.291161,12.649549
C021,CT1021,Rekall Inc,North America,Billing,Incorrect Currency,,Invoice was issued in the wrong currency.,2025-04-15,Open,Reissuing invoice in correct currency.,Business,NY,32.59838,7.8322983,-27.279432
C022,CT1022,Spectre,Europe,Service,Frequent Outages,,Service has been frequently unavailable.,2025-04-20,Closed,Implemented stability improvements.,Individual,TX,-49.235226,-32.394073,-14.9502
C023,CT1023,Jurassic Park,Asia,Product,Missing Accessories,,Product arrived without necessary accessories.,2025-04-25,Open,Shipping missing accessories.,Business,FL,21.31765,-38.32646,-8.573795
C024,CT1024,Cloud City Corp,South America,Support,No Follow-Up,,Support promised follow-up but never responded.,2025-04-30,Closed,Escalated case and provided resolution.,Individual,IL,10.292928,-0.13255288,57.146317
C025,CT1025,Monarch Solutions,Africa,Delivery,Wrong Address,,Package was delivered to the wrong address.,2025-05-05,Open,Investigating delivery error.,Business,OH,21.288322,-2.9410093,-0.14712311
