COMPLAINT_ID,CONTRACT_ID,PARENT_ORGANIZATION,REGION_RESPONSIBLE,CATEGORY,SUBCATEGORY,SUBCATEGORY_OTHER,COMPLAINT_SUMMARY,UPDATED_DATE,CASEWORK,COMMENT_TEXT,COMPLAINANT_TYPE,STATE
C001,CT1001,Acme Corp,North America,Billing,Overcharge,,Customer was overcharged by $50 on the last invoice.,2025-01-15,Open,Investigating the overcharge issue.,Individual,CA
C002,CT1002,Globex Inc,Europe,Service,Delay,,Service activation was delayed by two weeks.,2025-01-20,Closed,Apologized and provided a discount.,Individual,TX
C003,CT1003,Initech,Asia,Product,Defective Item,,Received a defective product that doesn't work.,2025-01-25,Open,Awaiting return of the defective item.,Business,NY
C004,CT1004,Umbrella Corp,South America,Support,Unresponsive,,Customer support has not responded to multiple inquiries.,2025-01-30,Closed,Provided support and resolved the issue.,Individual,FL
C005,CT1005,Stark Industries,Africa,Delivery,Missing Item,,An item was missing from the delivered package.,2025-02-01,Open,Processing the shipment of the missing item.,Business,IL
C006,CT1006,Wayne Enterprises,Australia,Billing,Incorrect Charge,,Incorrect charge applied to the account.,2025-02-05,Closed,Corrected the billing error.,Individual,WA
C007,CT1007,Wonka Industries,Europe,Product,Expired Product,,Received an expired product.,2025-02-10,Open,Offered replacement or refund options.,Individual,OR
C008,CT1008,Soylent Corp,North America,Service,Poor Quality,,Service quality does not meet expectations.,2025-02-15,Closed,Improved service quality and offered compensation.,Business,MI
C009,CT1009,Tyrell Corporation,Asia,Support,Rude Behavior,,Support staff was rude during the interaction.,2025-02-20,Open,Addressing the behavior with the support team.,Individual,NC
C010,CT1010,Black Mesa,South America,Delivery,Delayed Delivery,,Delivery was delayed by over a week.,2025-02-25,Closed,Expedited future deliveries and provided a discount.,Business,GA
C011,CT1011,Cyberdyne Systems,North America,Billing,Double Charge,,Customer was charged twice for the same transaction.,2025-03-01,Open,Processing the refund.,Individual,OH
C012,CT1012,LexCorp,Europe,Service,Installation Issue,,Installation process encountered technical difficulties.,2025-03-05,Closed,Resolved installation issue remotely.,Business,PA
C013,CT1013,Oscorp,Asia,Product,Wrong Item,,Received the wrong item in the order.,2025-03-10,Open,Arranging correct item delivery.,Individual,VA
C014,CT1014,Vought International,South America,Support,Slow Response,,Support response took more than 48 hours.,2025-03-15,Closed,Improved response time and provided support.,Business,CO
C015,CT1015,Dharma Initiative,Africa,Delivery,Damaged Item,,Item was damaged upon arrival.,2025-03-20,Open,Offering a replacement or refund.,Individual,AZ
C016,CT1016,Aperture Science,Australia,Billing,Unapplied Discount,,Discount was not applied during checkout.,2025-03-25,Closed,Applied the discount and refunded the difference.,Business,MA
C017,CT1017,Buy n Large,Europe,Service,Connection Issue,,Service connection is frequently dropping.,2025-03-30,Open,Investigating connection stability issues.,Individual,NV
C018,CT1018,Encom,North America,Product,Faulty Software,,Software crashes frequently and is unusable.,2025-04-01,Closed,Issued a patch to fix the problem.,Business,MO
C019,CT1019,Omni Consumer Products,Asia,Support,Unhelpful Staff,,Support staff did not resolve the issue.,2025-04-05,Open,Providing additional training to support staff.,Individual,WI
C020,CT1020,Weyland-Yutani,South America,Delivery,Lost Package,,Package never arrived at the destination.,2025-04-10,Closed,Reshipped the order and provided tracking.,Business,MN
C021,CT1021,Rekall Inc,North America,Billing,Incorrect Currency,,Invoice was issued in the wrong currency.,2025-04-15,Open,Reissuing invoice in correct currency.,Business,NY
C022,CT1022,Spectre,Europe,Service,Frequent Outages,,Service has been frequently unavailable.,2025-04-20,Closed,Implemented stability improvements.,Individual,TX
C023,CT1023,Jurassic Park,Asia,Product,Missing Accessories,,Product arrived without necessary accessories.,2025-04-25,Open,Shipping missing accessories.,Business,FL
C024,CT1024,Cloud City Corp,South America,Support,No Follow-Up,,Support promised follow-up but never responded.,2025-04-30,Closed,Escalated case and provided resolution.,Individual,IL
C025,CT1025,Monarch Solutions,Africa,Delivery,Wrong Address,,Package was delivered to the wrong address.,2025-05-05,Open,Investigating delivery error.,Business,OH
C026,CT1026,Massive Dynamic,Australia,Billing,Unexpected Fee,,Unexpected service fee appeared on the invoice.,2025-05-10,Closed,Waived the fee as a courtesy.,Individual,WA
C027,CT1027,Blue Sun Corporation,Europe,Service,Unreliable Performance,,Service works inconsistently.,2025-05-15,Open,Analyzing logs to identify the issue.,Business,OR
C028,CT1028,Wonkavision,North America,Product,Damaged Packaging,,Product box was torn upon delivery.,2025-05-20,Closed,Offered replacement or discount.,Individual,MI
C029,CT1029,Hyperion,Asia,Support,Unhelpful Instructions,,Support provided unclear troubleshooting steps.,2025-05-25,Open,Rewriting support documentation.,Business,NC
C030,CT1030,Abstergo Industries,South America,Delivery,Shipment Delayed,,Expected delivery date was missed.,2025-05-30,Closed,Expedited shipping for future orders.,Individual,GA
C031,CT1031,Omnitech,North America,Billing,Unauthorized Charge,,An unauthorized charge appeared on the account.,2025-06-01,Open,Investigating fraudulent activity.,Business,CA
C032,CT1032,Tycho Corp,Europe,Service,Slow Speeds,,Service speed is significantly lower than advertised.,2025-06-05,Closed,Adjusted settings to improve speed.,Individual,TX
C033,CT1033,Nakatomi Trading,Asia,Product,Counterfeit Item,,Product appears to be a counterfeit.,2025-06-10,Open,Verifying authenticity of the item.,Business,NY
C034,CT1034,Polybius Ltd,South America,Support,No Response,,Customer service has not responded at all.,2025-06-15,Closed,Assigned a dedicated support agent.,Individual,FL
C035,CT1035,RetroTech,Africa,Delivery,Wrong Quantity,,Received fewer items than ordered.,2025-06-20,Open,Shipping the missing items.,Business,IL
